
2024/10/31 (19:34:55) | ===> btop++ v.1.4.0
2024/10/31 (19:34:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (19:34:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (10:00:31) | ===> btop++ v.1.4.0
2024/11/01 (10:00:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (10:00:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (17:15:40) | ===> btop++ v.1.4.0
2024/11/11 (17:15:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (17:15:40) | WARNING: Intel GPU: Failed to initialize PMU
